U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
8,18,6,20,12,6,6,6,6,20,12,2,8,12,6,12,6,20,22,1
9,10,6,16,12,8,10,14,2,16,12,10,4,6,10,8,4,26,12,1
7,24,4,74,14,18,4,24,10,74,14,18,10,24,6,24,4,24,14,1
9,10,12,22,22,4,12,6,12,22,22,6,14,4,12,8,12,20,30,1
8,10,6,62,22,8,14,10,8,62,22,10,6,10,14,10,6,10,16,1
8,6,10,8,42,6,12,10,4,8,42,6,2,6,12,6,10,26,16,1
8,10,10,26,40,6,4,8,8,26,40,6,8,10,10,10,10,14,18,1
7,6,28,14,62,6,28,6,28,14,62,6,28,8,28,6,28,14,28,1
8,8,10,42,10,4,2,4,4,42,10,4,4,10,4,8,2,16,24,1
8,4,14,14,20,8,10,4,16,14,20,4,18,10,16,2,12,16,26,1
10,6,10,14,22,4,4,2,4,14,22,6,4,4,8,2,10,18,26,1
9,6,10,26,42,6,6,8,16,26,42,6,14,8,8,6,10,14,18,1
9,8,6,12,12,8,4,12,6,12,12,12,4,8,6,8,6,20,24,1
7,8,24,20,84,8,24,2,24,20,84,8,24,16,24,8,24,18,24,1
9,10,8,20,18,4,4,6,8,20,18,2,10,4,10,6,8,14,12,1
7,8,18,10,62,2,18,6,18,10,62,6,18,6,18,2,18,18,18,1
8,20,8,32,18,20,4,4,2,32,18,8,6,24,8,12,6,38,18,1
8,4,14,26,62,4,10,12,10,26,62,12,12,6,16,4,14,12,14,1
7,2,14,10,62,6,8,2,8,10,62,6,8,4,8,2,14,18,14,1
9,4,6,14,8,8,6,2,8,14,8,4,12,14,6,4,6,18,26,1
9,6,8,30,18,6,6,4,8,30,18,2,4,6,6,6,6,12,10,1
9,12,8,20,18,14,6,18,10,20,18,14,6,12,6,12,8,24,24,1
7,12,8,30,20,12,4,10,12,30,20,12,22,12,4,12,8,24,20,1
8,8,14,10,14,8,12,6,16,10,14,4,4,14,12,8,12,14,16,1
8,6,8,26,12,4,4,0,8,26,12,8,6,12,6,2,4,30,20,1
8,6,4,18,12,4,4,8,4,18,12,10,6,6,2,6,4,26,14,1
8,6,10,14,52,2,4,6,4,14,52,8,6,4,6,2,10,10,10,1
7,6,12,16,74,8,6,18,6,16,74,22,6,12,8,4,12,26,12,1
7,20,4,62,10,18,8,18,4,62,10,18,4,18,6,20,4,20,10,1
7,24,8,70,32,28,10,10,6,70,32,16,8,36,10,24,8,46,14,1
8,12,10,22,18,8,6,12,4,22,18,14,0,10,4,12,8,24,24,1
9,2,10,20,16,2,8,0,4,20,16,0,6,6,6,2,6,18,20,1
8,6,8,42,26,4,2,4,4,42,26,2,6,4,2,6,8,14,8,1
8,8,10,30,24,12,8,12,16,30,24,14,8,12,4,6,10,22,20,1
9,8,6,22,24,6,4,10,2,22,24,10,6,6,6,8,6,16,22,1
8,18,8,40,32,4,10,8,6,40,32,10,8,16,8,18,8,24,14,1
7,8,12,26,62,6,8,6,8,26,62,10,8,12,8,8,12,12,12,1
8,14,6,42,12,14,2,16,4,42,12,16,6,20,8,14,2,16,18,1
8,8,18,26,34,6,8,8,8,26,34,8,10,12,16,8,16,10,32,1
9,10,8,24,22,10,4,8,2,24,22,8,2,14,6,10,4,26,16,1
9,2,10,26,22,2,10,8,8,26,22,4,8,8,22,2,10,12,24,1
9,8,8,24,22,2,4,6,4,24,22,4,4,6,4,8,8,22,14,1
8,8,14,26,20,8,10,6,0,26,20,6,2,8,18,8,10,14,20,1
7,14,20,32,60,12,8,8,12,32,60,6,14,14,12,14,20,26,38,1
8,8,8,24,22,10,8,8,8,24,22,12,16,10,10,8,8,18,22,1
10,2,8,18,26,2,6,2,6,18,26,2,6,12,6,2,8,14,14,1
10,6,8,22,26,6,6,6,6,22,26,8,8,10,6,6,8,18,14,1
