U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
7,22,26,42,56,42,56,28,26,28,26,42,56,42,56,28,26,28,26,0
9,22,20,42,40,42,40,32,34,32,34,42,40,42,40,32,34,32,34,0
11,72,22,126,42,72,44,126,42,72,44,126,42,72,44,126,42,72,44,0
9,30,26,42,56,42,56,44,26,44,26,42,56,42,56,44,26,44,26,0
8,40,22,72,42,42,32,72,42,42,32,72,42,42,32,72,42,42,32,0
7,22,16,42,72,26,40,26,32,42,32,42,72,26,40,26,32,42,32,0
9,40,26,74,56,74,56,40,26,40,26,74,56,74,56,40,26,40,26,0
6,24,10,44,42,28,26,44,26,28,26,44,42,28,26,44,26,28,26,0
10,20,74,32,74,32,74,32,74,32,74,32,74,32,74,32,74,32,74,0
11,40,26,74,56,40,26,74,56,40,26,74,56,40,26,74,56,40,26,0
10,72,22,126,42,74,34,126,42,74,34,126,42,74,34,126,42,74,34,0
7,26,24,56,42,26,40,56,42,26,40,56,42,26,40,56,42,26,40,0
9,16,22,40,42,32,26,40,42,32,26,40,42,32,26,40,42,32,26,0
8,22,22,46,42,46,42,24,32,24,32,46,42,46,42,24,32,24,32,0
7,22,24,42,40,32,42,42,40,32,42,42,40,32,42,42,40,32,42,0
7,26,30,56,42,26,44,56,42,26,44,56,42,26,44,56,42,26,44,0
10,22,18,42,56,28,26,42,24,28,42,42,56,28,26,42,24,28,42,0
10,22,14,42,32,28,26,42,32,28,26,42,32,28,26,42,32,28,26,0
6,22,42,32,84,42,42,32,84,42,42,32,84,42,42,32,84,42,42,0
9,24,22,126,46,62,46,56,32,56,24,126,46,62,46,56,32,56,24,0
4,22,40,32,74,42,40,32,74,42,40,32,74,42,40,32,74,42,40,0
8,32,22,72,42,72,42,32,26,32,26,72,42,72,42,32,26,32,26,0
6,24,22,44,42,28,26,44,42,28,26,44,42,28,26,44,42,28,26,0
10,30,24,42,44,42,28,42,44,42,28,42,44,42,28,42,44,42,28,0
11,22,20,84,72,56,40,52,32,56,40,84,72,56,40,52,32,56,40,0
9,20,26,42,56,40,26,42,56,40,26,42,56,40,26,42,56,40,26,0
4,42,20,84,40,84,40,56,32,56,32,84,40,84,40,56,32,56,32,0
10,22,24,46,42,24,28,46,42,24,28,46,42,24,28,46,42,24,28,0
9,22,32,42,72,26,32,42,72,26,32,42,72,26,32,42,72,26,32,0
8,22,32,84,72,52,72,56,32,56,32,84,72,52,72,56,32,56,32,0
10,24,22,72,42,42,32,40,42,42,32,72,42,42,32,40,42,42,32,0
11,40,22,72,42,40,26,72,42,40,26,72,42,40,26,72,42,40,26,0
11,22,22,42,46,32,24,42,46,32,24,42,46,32,24,42,46,32,24,0
9,10,20,56,42,24,42,26,32,26,32,56,42,24,42,26,32,26,32,0
8,22,20,42,44,26,28,42,44,26,28,42,44,26,28,42,44,26,28,0
11,20,26,42,56,32,26,42,56,32,26,42,56,32,26,42,56,32,26,0
11,22,22,42,46,32,24,42,46,32,24,42,46,32,24,42,46,32,24,0
11,22,72,42,72,26,72,42,72,26,72,42,72,26,72,42,72,26,72,0
6,20,22,40,42,34,32,40,42,34,32,40,42,34,32,40,42,34,32,0
9,22,30,42,126,42,62,34,62,34,62,42,126,42,62,34,62,34,62,0
6,16,22,62,46,62,46,72,24,56,32,62,46,62,46,72,24,56,32,0
10,22,30,32,42,32,42,42,44,42,44,32,42,32,42,42,44,42,44,0
8,16,22,44,42,44,42,28,26,28,26,44,42,44,42,28,26,28,26,0
9,24,22,72,42,40,26,40,42,40,26,72,42,40,26,40,42,40,26,0
10,20,22,44,42,44,42,26,32,42,32,44,42,44,42,26,32,42,32,0
9,30,22,126,42,62,42,62,42,62,42,126,42,62,42,62,42,62,42,0
7,20,18,42,56,32,26,42,24,32,42,42,56,32,26,42,24,32,42,0
7,14,22,32,42,26,28,32,42,26,28,32,42,26,28,32,42,26,28,0
9,20,30,60,60,60,60,42,30,42,30,60,60,60,60,42,30,42,30,0
11,22,30,42,44,32,42,42,44,32,42,42,44,32,42,42,44,32,42,0
6,42,22,42,44,42,44,56,26,56,26,42,44,42,44,56,26,56,26,0
10,20,14,42,56,42,32,32,26,72,26,42,56,42,32,32,26,72,26,0
10,42,24,84,44,56,28,84,44,56,28,84,44,56,28,84,44,56,28,0
7,22,20,32,42,42,32,32,42,42,32,32,42,42,32,32,42,42,32,0
7,22,16,42,72,42,40,26,32,26,32,42,72,42,40,26,32,26,32,0
8,22,16,42,56,34,32,42,24,34,32,42,56,34,32,42,24,34,32,0
9,24,26,42,56,42,56,40,26,40,26,42,56,42,56,40,26,40,26,0
10,24,26,74,56,42,56,40,26,40,26,74,56,42,56,40,26,40,26,0
7,22,16,42,72,26,40,42,32,26,32,42,72,26,40,42,32,26,32,0
8,22,40,42,74,42,62,42,74,42,62,42,74,42,62,42,74,42,62,0
8,22,24,42,44,26,28,42,44,26,28,42,44,26,28,42,44,26,28,0
10,12,22,44,42,28,42,28,26,28,26,44,42,28,42,28,26,28,26,0
5,22,40,42,72,42,72,26,40,26,40,42,72,42,72,26,40,26,40,0
8,22,20,42,72,32,42,42,32,32,42,42,72,32,42,42,32,32,42,0
7,22,12,46,42,24,32,46,30,24,28,46,42,24,32,46,30,24,28,0
11,22,30,32,42,26,44,32,42,26,44,32,42,26,44,32,42,26,44,0
8,22,14,42,32,42,32,28,26,28,26,42,32,42,32,28,26,28,26,0
7,30,22,84,44,84,28,56,44,56,44,84,44,84,28,56,44,56,44,0
8,22,8,42,42,42,42,32,44,32,36,42,42,42,42,32,44,32,36,0
10,22,20,44,42,42,32,28,42,26,32,44,42,42,32,28,42,26,32,0
11,22,26,42,56,28,26,42,56,28,26,42,56,28,26,42,56,28,26,0
11,22,40,42,72,42,72,32,42,32,42,42,72,42,72,32,42,32,42,0
9,42,20,74,74,42,62,42,62,74,74,74,74,42,62,42,62,74,74,0
7,12,22,42,32,40,42,34,32,40,42,42,32,40,42,34,32,40,42,0
9,24,22,62,46,56,24,62,46,56,24,62,46,56,24,62,46,56,24,0
8,20,26,42,56,42,56,40,26,40,26,42,56,42,56,40,26,40,26,0
8,56,22,56,42,56,42,56,42,56,42,56,42,56,42,56,42,56,42,0
8,32,26,62,46,72,32,62,46,72,32,62,46,72,32,62,46,72,32,0
7,26,24,56,74,26,40,56,42,26,40,56,74,26,40,56,42,26,40,0
11,20,22,32,74,32,42,32,34,56,42,32,74,32,42,32,34,56,42,0
11,22,10,42,56,42,24,28,26,28,26,42,56,42,24,28,26,28,26,0
10,20,22,44,42,44,26,42,32,26,56,44,42,44,26,42,32,26,56,0
11,40,22,72,42,42,32,72,42,42,32,72,42,42,32,72,42,42,32,0
7,26,10,56,42,26,28,56,26,26,28,56,42,26,28,56,26,26,28,0
8,42,22,56,42,42,28,56,42,42,28,56,42,42,28,56,42,42,28,0
4,12,22,40,42,40,42,34,32,34,32,40,42,40,42,34,32,34,32,0
7,22,16,42,56,34,32,42,24,34,32,42,56,34,32,42,24,34,32,0
12,12,26,42,56,26,56,28,26,28,26,42,56,26,56,28,26,28,26,0
7,24,22,40,42,40,26,40,42,40,26,40,42,40,26,40,42,40,26,0
7,24,22,126,46,56,32,56,24,62,46,126,46,56,32,56,24,62,46,0
6,22,24,42,44,42,44,26,28,26,28,42,44,42,44,26,28,26,28,0
8,22,22,32,42,26,28,32,42,26,28,32,42,26,28,32,42,26,28,0
9,44,22,44,42,44,42,44,26,44,26,44,42,44,42,44,26,44,26,0
10,26,30,32,60,46,30,32,60,46,30,32,60,46,30,32,60,46,30,0
10,24,22,56,42,24,42,56,42,24,42,56,42,24,42,56,42,24,42,0
7,16,22,56,42,32,34,24,42,32,34,56,42,32,34,24,42,32,34,0
10,22,16,42,40,26,32,42,72,26,32,42,40,26,32,42,72,26,32,0
